path	top_dir	sub_dir	ext	lines	proposed_action	target_or_new_home	wave	rationale
scripts/analysis/build_best_episode_classification.py	analysis	build_best_episode_classification.py	.py	122	KEEP_AND_CLEAN		wave-4	Retain as canonical post-run analysis utility.
scripts/analysis/build_best_split_breakdown.py	analysis	build_best_split_breakdown.py	.py	105	KEEP_AND_CLEAN		wave-4	Retain as canonical post-run analysis utility.
scripts/analysis/build_dataset_cohort_variance.py	analysis	build_dataset_cohort_variance.py	.py	117	MOVE_TO_SCRATCH	scripts/scratch/analysis/	wave-3	One-off or low-reuse analysis helper.
scripts/analysis/build_dataset_holdout_characteristics.py	analysis	build_dataset_holdout_characteristics.py	.py	190	MOVE_TO_SCRATCH	scripts/scratch/analysis/	wave-3	One-off or low-reuse analysis helper.
scripts/analysis/build_grand_summary.py	analysis	build_grand_summary.py	.py	233	KEEP_AND_CLEAN		wave-4	Retain as canonical post-run analysis utility.
scripts/analysis/compute_cumrmse_by_timestep.py	analysis	compute_cumrmse_by_timestep.py	.py	258	KEEP_AND_CLEAN		wave-4	Retain as canonical post-run analysis utility.
scripts/analysis/count_episodes_by_gap_policy.py	analysis	count_episodes_by_gap_policy.py	.py	182	MOVE_TO_SCRATCH	scripts/scratch/analysis/	wave-3	One-off or low-reuse analysis helper.
scripts/analysis/cumrmse_table.py	analysis	cumrmse_table.py	.py	207	MOVE_TO_SCRATCH	scripts/scratch/analysis/	wave-3	One-off or low-reuse analysis helper.
scripts/analysis/plot_bg_histograms_by_split.py	analysis	plot_bg_histograms_by_split.py	.py	207	MOVE_TO_SCRATCH	scripts/scratch/analysis/	wave-3	One-off or low-reuse analysis helper.
scripts/analysis/plot_episode_classification_curves.py	analysis	plot_episode_classification_curves.py	.py	254	MOVE_TO_SCRATCH	scripts/scratch/analysis/	wave-3	One-off or low-reuse analysis helper.
scripts/analysis/relocate_768ctx_results.py	analysis	relocate_768ctx_results.py	.py	103	MOVE_TO_SCRATCH	scripts/scratch/analysis/	wave-3	One-off or low-reuse analysis helper.
scripts/analysis/summarize_experiments.py	analysis	summarize_experiments.py	.py	202	KEEP_AND_CLEAN		wave-4	Retain as canonical post-run analysis utility.
