path	top_dir	sub_dir	ext	lines	inbound_refs	docs_ref	proposed_decision	rationale
scripts/analysis/build_best_episode_classification.py	analysis	build_best_episode_classification.py	.py	122	2	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/analysis/build_best_split_breakdown.py	analysis	build_best_split_breakdown.py	.py	105	1	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/analysis/build_dataset_cohort_variance.py	analysis	build_dataset_cohort_variance.py	.py	117	1	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/analysis/build_dataset_holdout_characteristics.py	analysis	build_dataset_holdout_characteristics.py	.py	190	1	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/analysis/build_grand_summary.py	analysis	build_grand_summary.py	.py	233	1	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/analysis/compute_cumrmse_by_timestep.py	analysis	compute_cumrmse_by_timestep.py	.py	258	1	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/analysis/count_episodes_by_gap_policy.py	analysis	count_episodes_by_gap_policy.py	.py	182	0	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/analysis/cumrmse_table.py	analysis	cumrmse_table.py	.py	207	1	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/analysis/plot_bg_histograms_by_split.py	analysis	plot_bg_histograms_by_split.py	.py	207	0	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/analysis/plot_episode_classification_curves.py	analysis	plot_episode_classification_curves.py	.py	254	0	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/analysis/relocate_768ctx_results.py	analysis	relocate_768ctx_results.py	.py	103	0	0	candidate-scratch	Appears one-off migration helper.
scripts/analysis/summarize_experiments.py	analysis	summarize_experiments.py	.py	202	2	0	review-analysis-role	Decide if retained analysis reference or scratch-only.
scripts/data_processing/WATGPU_FILE_TRANSFER.md	data_processing	WATGPU_FILE_TRANSFER.md	.md	41	0	0	review-data-processing-role	Classify as active pipeline helper vs archival tool.
scripts/data_processing/compare_lynch_data_sources.py	data_processing	compare_lynch_data_sources.py	.py	221	1	0	review-data-processing-role	Classify as active pipeline helper vs archival tool.
scripts/data_processing/export_single_episode_eval_data.py	data_processing	export_single_episode_eval_data.py	.py	515	0	0	review-data-processing-role	Classify as active pipeline helper vs archival tool.
scripts/data_processing/generate_holdout_configs.py	data_processing	generate_holdout_configs.py	.py	202	2	0	review-data-processing-role	Classify as active pipeline helper vs archival tool.
scripts/data_processing/loader_local_shells/aleppo_data_processing_local.sh	data_processing	loader_local_shells	.sh	43	1	0	dedup-or-scratch	Per-dataset wrappers likely replaceable with generic loader launcher.
scripts/data_processing/loader_local_shells/brown_data_processing_local.sh	data_processing	loader_local_shells	.sh	41	0	0	dedup-or-scratch	Per-dataset wrappers likely replaceable with generic loader launcher.
scripts/data_processing/loader_local_shells/lynch_data_processing_local.sh	data_processing	loader_local_shells	.sh	42	1	0	dedup-or-scratch	Per-dataset wrappers likely replaceable with generic loader launcher.
scripts/data_processing/loader_local_shells/tamborlane_data_processing_local.sh	data_processing	loader_local_shells	.sh	41	0	0	dedup-or-scratch	Per-dataset wrappers likely replaceable with generic loader launcher.
scripts/data_processing/loader_slurm_shells/aleppo_data_processing.sh	data_processing	loader_slurm_shells	.sh	32	0	0	dedup-or-scratch	Per-dataset wrappers likely replaceable with generic loader launcher.
scripts/data_processing/loader_slurm_shells/brown_data_processing.sh	data_processing	loader_slurm_shells	.sh	30	0	0	dedup-or-scratch	Per-dataset wrappers likely replaceable with generic loader launcher.
scripts/data_processing/loader_slurm_shells/lynch_data_processing.sh	data_processing	loader_slurm_shells	.sh	32	0	0	dedup-or-scratch	Per-dataset wrappers likely replaceable with generic loader launcher.
scripts/data_processing/loader_slurm_shells/tamborlane_data_processing.sh	data_processing	loader_slurm_shells	.sh	30	0	0	dedup-or-scratch	Per-dataset wrappers likely replaceable with generic loader launcher.
scripts/data_processing/validate_holdout_configs.py	data_processing	validate_holdout_configs.py	.py	109	1	0	review-data-processing-role	Classify as active pipeline helper vs archival tool.
scripts/data_processing/verify_time_features.py	data_processing	verify_time_features.py	.py	144	1	0	review-data-processing-role	Classify as active pipeline helper vs archival tool.
scripts/data_processing/view_data_config_registry.py	data_processing	view_data_config_registry.py	.py	212	1	0	review-data-processing-role	Classify as active pipeline helper vs archival tool.
scripts/evaluation/sweeps/models/chronos2_long_run_step_sweep_eval.sh	evaluation	sweeps	.sh	269	1	0	dedup-to-wrapper	Heavy model-specific sweep logic likely duplicate.
scripts/evaluation/sweeps/models/chronos2_step_sweep_eval.sh	evaluation	sweeps	.sh	265	1	0	dedup-to-wrapper	Heavy model-specific sweep logic likely duplicate.
scripts/evaluation/sweeps/models/chronos2_sweep_eval.sh	evaluation	sweeps	.sh	21	0	0	keep-thin-wrapper	Already thin profile wrapper.
scripts/evaluation/sweeps/models/deepar_sweep_eval.sh	evaluation	sweeps	.sh	19	0	0	keep-thin-wrapper	Already thin profile wrapper.
scripts/evaluation/sweeps/models/moirai_sweep_eval.sh	evaluation	sweeps	.sh	159	1	0	dedup-to-wrapper	Heavy model-specific sweep logic likely duplicate.
scripts/evaluation/sweeps/models/moment_sweep_eval.sh	evaluation	sweeps	.sh	255	1	0	dedup-to-wrapper	Heavy model-specific sweep logic likely duplicate.
scripts/evaluation/sweeps/models/naive_baseline_sweep_eval.sh	evaluation	sweeps	.sh	213	1	0	dedup-to-wrapper	Heavy model-specific sweep logic likely duplicate.
scripts/evaluation/sweeps/models/patchtst_sweep_eval.sh	evaluation	sweeps	.sh	19	0	0	keep-thin-wrapper	Already thin profile wrapper.
scripts/evaluation/sweeps/models/statistical_sweep_eval.sh	evaluation	sweeps	.sh	219	1	0	dedup-to-wrapper	Heavy model-specific sweep logic likely duplicate.
scripts/evaluation/sweeps/models/sundial_sweep_eval.sh	evaluation	sweeps	.sh	81	1	0	dedup-to-wrapper	Heavy model-specific sweep logic likely duplicate.
scripts/evaluation/sweeps/models/tft_sweep_eval.sh	evaluation	sweeps	.sh	19	0	0	keep-thin-wrapper	Already thin profile wrapper.
scripts/evaluation/sweeps/models/tide_sweep_eval.sh	evaluation	sweeps	.sh	144	1	0	dedup-to-wrapper	Heavy model-specific sweep logic likely duplicate.
scripts/evaluation/sweeps/models/timesfm_sweep_eval.sh	evaluation	sweeps	.sh	185	1	0	dedup-to-wrapper	Heavy model-specific sweep logic likely duplicate.
scripts/evaluation/sweeps/models/toto_sweep_eval.sh	evaluation	sweeps	.sh	214	1	0	dedup-to-wrapper	Heavy model-specific sweep logic likely duplicate.
scripts/evaluation/sweeps/nocturnal_forecast/context_ablation/chronos2_ctx_ablation_eval.sh	evaluation	sweeps	.sh	325	1	0	migrate-to-spec-wrapper	Context-ablation should mirror profile-spec wrapper pattern.
scripts/evaluation/sweeps/nocturnal_forecast/context_ablation/deepar_ctx_ablation_eval.sh	evaluation	sweeps	.sh	257	2	0	migrate-to-spec-wrapper	Context-ablation should mirror profile-spec wrapper pattern.
scripts/evaluation/sweeps/nocturnal_forecast/context_ablation/patchtst_ctx_ablation_eval.sh	evaluation	sweeps	.sh	257	2	0	migrate-to-spec-wrapper	Context-ablation should mirror profile-spec wrapper pattern.
scripts/evaluation/sweeps/nocturnal_forecast/context_ablation/tft_ctx_ablation_eval.sh	evaluation	sweeps	.sh	264	2	0	migrate-to-spec-wrapper	Context-ablation should mirror profile-spec wrapper pattern.
scripts/evaluation/sweeps/run_sweep_eval.sh	evaluation	sweeps	.sh	34	5	1	keep-core-entrypoint	Canonical generic sweep launcher.
scripts/examples/example_data_holdout_system.py	examples	example_data_holdout_system.py	.py	309	0	1	keep-public	Onboarding/tutorial surface.
scripts/examples/example_forecasting_workflow.py	examples	example_forecasting_workflow.py	.py	14	0	1	keep-public	Onboarding/tutorial surface.
scripts/examples/example_load_holdout_data.py	examples	example_load_holdout_data.py	.py	189	1	0	keep-public	Onboarding/tutorial surface.
scripts/experiments/chronos2_eval_long_run_checkpoints.sh	experiments	chronos2_eval_long_run_checkpoints.sh	.sh	129	2	0	review-experiment-surface	Likely specialized experiment runner; classify as product vs scratch.
scripts/experiments/chronos2_finetune.py	experiments	chronos2_finetune.py	.py	186	2	0	review-experiment-surface	Likely specialized experiment runner; classify as product vs scratch.
scripts/experiments/chronos2_time_covariate_experiment.py	experiments	chronos2_time_covariate_experiment.py	.py	561	2	0	review-experiment-surface	Likely specialized experiment runner; classify as product vs scratch.
scripts/experiments/forecasting_workflow_orchestrator.py	experiments	forecasting_workflow_orchestrator.py	.py	9	2	1	rehome-or-rename	Core runtime surface but location/name likely mismatched with taxonomy.
scripts/experiments/forecasting_workflow_regression_smoke.sh	experiments	forecasting_workflow_regression_smoke.sh	.sh	49	1	1	rehome-or-rename	Core runtime surface but location/name likely mismatched with taxonomy.
scripts/experiments/nocturnal_hypo_eval.py	experiments	nocturnal_hypo_eval.py	.py	578	15	0	rehome-or-rename	Core runtime surface but location/name likely mismatched with taxonomy.
scripts/experiments/nocturnal_hypo_eval_ctx_ablation.py	experiments	nocturnal_hypo_eval_ctx_ablation.py	.py	426	4	0	rehome-or-rename	Core runtime surface but location/name likely mismatched with taxonomy.
