model,class,zero_shot_capable,fine_tunable,supports_past_covariates,univariate_only,probabilistic,architecture_summary
naive_baseline/Average,naive,False,True,False,True,False,Mean of the context window. Deterministic; no learnable parameters.
naive_baseline/Naive,naive,False,True,False,True,False,Last-observation-carried-forward. Deterministic; no learnable parameters.
statistical/AutoARIMA,statistical,False,True,False,True,True,"Box-Jenkins ARIMA with automated (p,d,q) order selection per series; Gaussian predictive distribution."
statistical/NPTS,statistical,False,True,False,True,True,Non-Parametric Time Series: empirical resampling of historical values with kernel-weighted recency.
statistical/Theta,statistical,False,True,False,True,False,Theta decomposition: drift line + simple exponential smoothing of deseasonalised series. Point forecasts only.
deepar,deep_learning,False,True,False,False,True,Autoregressive LSTM emitting parametric (Student-t/Gaussian) likelihood per step. AutoGluon only exposes known (future-available) covariates for DeepAR; past-only covariates like IOB/COB cannot be used without data leakage.
patchtst,deep_learning,False,True,False,True,False,"Patch-tokenised transformer encoder, channel-independent. Point/quantile forecasts; no native covariate support."
tft,deep_learning,False,True,True,False,True,Temporal Fusion Transformer: variable-selection networks + LSTM encoder/decoder + multi-head interpretable attention + quantile head.
tide,deep_learning,False,True,False,False,False,Time-series Dense Encoder: pure MLP encoder-decoder with residual connections; no attention. Point forecasts. AutoGluon only exposes known (future-available) covariates for TiDE; past-only covariates like IOB/COB cannot be used without data leakage.
timegrad,deep_learning,False,True,False,True,True,Autoregressive denoising-diffusion RNN: LSTM hidden state conditions a per-step DDPM that samples next observation. Uses the pts library directly (not AutoGluon); only BG context is consumed — no covariate inputs are wired in.
chronos2,foundation,True,True,True,False,True,T5 encoder-decoder over quantised value tokens (Chronos-2). Native past + static covariates; quantile sampling.
moirai,foundation,True,True,True,False,True,Masked encoder transformer with patch embeddings and multi-patch-size attention; any-variate forecasting.
moment,foundation,True,True,True,False,False,MOMENT (CMU): masked-reconstruction transformer foundation model with patch embeddings; channel-independent variant supports past covariates via concatenation. Point forecasts.
sundial,foundation,True,False,False,True,True,THUML Sundial: generative diffusion-based transformer foundation model (ICML 2025). Draws sample paths via autoregressive generation; quantiles derived from samples. Used zero-shot only in this study.
timesfm,foundation,True,True,False,True,True,Google TimesFM: decoder-only transformer with input/output patching; univariate; quantile head.
toto,foundation,True,True,True,False,True,"Datadog Toto: decoder-only transformer foundation model with proprietary tokeniser, trained on observability time-series."
ttm,foundation,True,True,True,False,False,TinyTimeMixer (IBM): mixer-style channel/patch MLPs (no attention); very small (~1M params). Point forecasts.
