id,priority,status,date_started,date_completed,title,dependencies,description
paper-tag-immutable,P0,done,2026-08-06,2026-08-06,Tag paper-v1 on neurips-rebuttal,,Tag `paper-v1` on `neurips-rebuttal`; push to backup remote(s); verify tag SHA is preserved outside the repo (e.g. cluster README; external doc). [COMPLETED 2026-08-06: Tag verified at SHA 27980c6; pushed to both origin and private]
pii-secrets-audit,P0,done,2026-08-06,2026-08-06,Scan git history for PHI/secrets,paper-tag-immutable,`git log --all -p` scan for PHI/tokens/keys across history; enable GitHub secret scanning + push protection; document any incidents and remediation. [COMPLETED 2026-08-06: No secrets or PHI found. Report: P0-02_PII_SECRETS_AUDIT_REPORT.md. Next: Enable GitHub secret scanning in repo settings]
data-inventory,P0,done,2026-08-06,2026-08-07,Create trained_models_inventory.csv,pii-secrets-audit,Produce `trained_models_inventory.csv` (path; size; model; dataset; run_id; retention_tier; sha256) covering all of `trained_models/` and `experiments/`. Classify into paper-critical / active-work / archivable / deletable.
data-mirror-plan,P0,done,2026-08-07,2026-08-07,Choose storage target and write mirror script,data-inventory,"Backblaze B2 selected and configured; upload pipeline hardened (restricted-key-safe bucket check, schema-aware tier parsing, transaction reduction, modern CLI syntax). Verified remote mirror from live bucket listing: 7,553 files / 104.26 GiB total (paper-critical/trained_models: 6,842 / 102.43 GiB; paper-critical/experiments: 668 / 1.72 GiB; archivable/trained_models: 43 / 0.10 GiB). [COMPLETED 2026-08-07]"
land-rebuttal-analyses,P0,done,2026-08-07,2026-08-07,Land rebuttal tooling privately then modularize,paper-tag-immutable,"Private-first execution complete and merged: Phase 1 (`private/p0-5-private-phase1`) landed rebuttal analysis tooling with private-artifact guardrails; Phase 2 (`private/p0-5-private-phase2`) extracted shared logic to `src/evaluation/stats/rebuttal/`, rewired script imports, and preserved compatibility shims. [COMPLETED 2026-08-07] NOTE: `src/evaluation/stats/rebuttal/` is explicitly temporary (private transition path only); P1 `stats-rigor-module` owns the required rename/split to a public-safe module surface before any upstream public release."
agent-safety-conventions,P0,done,2026-08-06,2026-08-06,Add AGENTS.md and read-only path declarations,,Add repo-root `AGENTS.md` (mirrored as `CLAUDE.md`) declaring read-only paths (`trained_models/`; `cache/data/*/`; `experiments/`; `results/`; `mlflow/`); add per-directory `.agent-forbidden` markers where appropriate. [COMPLETED 2026-08-06: Created AGENTS.md; CLAUDE.md; .agent-forbidden markers in 6 directories; CODEOWNERS file]
repo-governance,P0,done,2026-08-06,2026-08-06,Enable branch protection and security features,,"Enable branch protection on `main` (required review; no force push; required checks); add `CODEOWNERS`; enable Dependabot + secret scanning + Copilot review on PRs. [COMPLETED 2026-08-06: CODEOWNERS created. GitHub settings verified: Dependabot alerts/updates, secret scanning, push protection all enabled. Branch protection on main confirmed by admin]"
stale-branch-triage,P0,done,2026-08-08,2026-08-08,Archive or delete stale branches,,Completed 2026-08-08: Wave A + Wave B (delete-ready + review-first) stale branches archived and deleted from public origin after dual-remote tag/SHA verification. Subsequent PR work merged #394 and #398 and removed those branches; PR #395 was closed per policy and its branch was archive-tagged/deleted from public while preserved on private. Public origin now intentionally holds 2 recent-active non-main branches. All deleted branch history is preserved via `archive/*` tags and private remote retention. Completion record: `agent_notes/P0-08_BRANCH_CLEANUP_PLAN.md`.
autogluon-baselines-extraction,P0,done,2026-08-13,2026-08-13,Extract public-safe work from feat/autogluon-baselines,stale-branch-triage,"Run focused extraction from `origin/feat/autogluon-baselines` instead of full merge: (A) AutoGluon baseline model core (src/models + tests + model configs), (B) optional nocturnal summary modules, (C) portable orchestration scripts only. Explicitly exclude generated artifacts (`results/`, experiment CSV snapshots), local-path rerun scripts, and accidental holdout config deletions. [COMPLETED 2026-08-13: PR-A core confirmed landed on `main`; targeted validation rerun passed (`70` tests across AutoGluon-family + registry). Remaining branch deltas are intentionally excluded from public merge (generated artifacts, absolute-path rerun scripts, holdout config deletions, and broad-exception regression in `src/models/autogluon_base.py`). Closeout protocol: archive-tag + SHA verify on origin/private, then delete public branch. Audit record: `agent_notes/P0-08_BRANCH_CLEANUP_PLAN.md`]."
experiments-arch-rfc,P0,done,2026-08-13,2026-08-13,Design single experiment architecture,,"One-page RFC choosing a single meaning for ""experiment"" (recommend: `configs/` declarative → `src/pipelines/` runners → `runs/` outputs) and mapping the four current experiment folders onto it. No code change yet — just the decision. [COMPLETED 2026-08-13: Architecture decision accepted and documented in `agent_notes/P0-11_EXPERIMENTS_ARCH_RFC.md`, including explicit mapping for `experiments/`, `src/experiments/`, `configs/experiments/`, and `scripts/experiments/` and guardrails for P1 `experiments-collapse`.]"
private-fork-setup,P1,in_progress,2026-08-13,,Create private fork and document sync policy,repo-governance,"Sync policy and automation are implemented (`agent_notes/P1-12_PRIVATE_FORK_SYNC_POLICY.md`, `scripts/sync_upstream_to_private.sh`). Remaining residual after governance decision update: repoint/confirm `private` remote to the selected personal private repo workflow (Option C), validate collaborator access model for active semester contributors, and verify nightly sync against that target."
private-governance-cost-plan,P1,done,2026-08-13,2026-08-13,Choose affordable private governance model,private-fork-setup,"Decision recorded: Option C (personal private repo workflow) based on student budget constraints and rotating contributor model; keep broad public access while restricting private active-maintainer access. Cost/operations matrix, controls, and revisit triggers documented in `agent_notes/P1-13_PRIVATE_GOVERNANCE_COST_PLAN.md`. [COMPLETED 2026-08-13]"
model-adapter-protocol,P1,in_progress,2026-08-13,,Design and ship ModelAdapter protocol,,"Initial protocol artifacts are in place (`src/models/adapter.py`, `src/models/naive_baseline/adapter.py`, `tests/models/test_model_adapter_protocol.py`). Deep-dive planning is complete in `agent_notes/P1-14_MODEL_STACK_DEEP_DIVE.md`; runtime-surface pruning was executed and validated on 2026-08-13. Remaining closeout work: publish `model-extension-contract-doc`, then mark protocol complete."
pydantic-config-schemas,P1,in_progress,2026-08-13,,Introduce Pydantic v2 schemas for all configs,,Introduce Pydantic v2 schemas for model configs; sweep configs; data configs; evaluation configs; validate on load; auto-generate JSON schema for docs; migrate all existing YAML in `configs/`. Kickoff artifact captured in `agent_notes/P1-15_PYDANTIC_SCHEMA_MIGRATION_KICKOFF.md`; refreshed execution plan + staged rollout checklist captured in `agent_notes/P1-15_PYDANTIC_CONFIG_SCHEMAS_EXECUTION_PLAN.md`.
pydantic-model-family-rollout,P1,pending,,,Execute per-model schema adapter rollout,pydantic-config-schemas,"Land explicit model-by-model schema adapters for all active factory model IDs (beyond TSMixer pilot), including fixture-backed valid/invalid config tests and registry wiring. Source-of-truth backlog table is maintained in `agent_notes/P1-15_PYDANTIC_CONFIG_SCHEMAS_EXECUTION_PLAN.md` under 'Model-family schema rollout matrix'."
run-manifest-schema,P1,done,2026-08-16,2026-08-16,Define run_manifest.json schema,repo-design-handbook-ratification,"Completed 2026-08-16: canonical pre-MLflow `run_manifest.json` schema implemented and wired via `src/workflows/runtime/manifest.py` and representative training/eval entrypoints (`src/workflows/forecasting/pipeline.py`, `scripts/evaluation/nocturnal_hypo_eval.py`). Follow-up work is MLflow mapping/rollout under `mlflow-integration`."
optuna-integration,P1,pending,,,Add Optuna + MLflow tuning implementation,pydantic-config-schemas,Add `src/tuning/` implementation on top of Optuna + MLflow; support pruning; distributed workers; and re-use existing YAML search spaces via Pydantic; automatic search-space + budget table generation (LaTeX + Markdown).
mlflow-integration,P1,pending,,,Wire MLflow tracking into all entrypoints,run-manifest-schema,Wire MLflow tracking into every training/eval entrypoint; capture manifest; artifacts; metrics; document self-hosted server operations.
stats-rigor-module,P1,pending,,,Promote rebuttal stats to first-class modules,land-rebuttal-analyses,"Promote `scripts/analysis/rebuttal_neurips2026/` A1–A9 into `src/evaluation/stats/` as first-class importable modules with unit tests + CI job that runs the fast ones on sample data on every PR. This task MUST: (1) rename temporary `src/evaluation/stats/rebuttal/` to public-safe domain naming, and (2) split generic statistical utilities from project/rebuttal-specific run-loading code."
experiments-collapse,P1,pending,,,Unify four experiment folders,experiments-arch-rfc,Execute the RFC from `experiments-arch-rfc`; unify `experiments/`; `src/experiments/`; `configs/experiments/`; `scripts/experiments/` into the chosen layout; keep symlinks or shim modules for backward compat for 1 release.
model-runtime-flow-audit,P1,done,2026-08-13,2026-08-13,Audit model runtime flow and classify surfaces,model-adapter-protocol,"Completed 2026-08-13: Produced keep/wire/remove runtime matrix in `agent_notes/P1-21_MODEL_RUNTIME_FLOW_AUDIT.md` by tracing model construction/import callers from training/eval entrypoints (`scripts/experiments/*` + related orchestration scripts). Key outcomes: `create_model_and_config` confirmed primary runtime constructor, `AutoGluonBaseModel` confirmed core runtime, and non-runtime base exports flagged for default prune in `model-runtime-surface-prune`."
model-runtime-surface-prune,P1,done,2026-08-13,2026-08-13,Prune non-runtime model surfaces by default,model-runtime-flow-audit,"Completed 2026-08-13: removed base LoRA/Distributed runtime surfaces from `src/models/base/base_model.py`; removed LoRA/Distributed constructor plumbing and `supports_lora` properties across active model classes; removed LoRA branch from `scripts/experiments/per_patient_finetune.py`; updated `scripts/examples/example_forecasting_workflow.py` to stop passing removed distributed args. Validation: holdout workflow smoke runs completed for `chronos2`, `patchtst`, `timesfm` on `aleppo_2017`; nocturnal eval artifacts written under `experiments/nocturnal_forecasting/512ctx_96fh/{chronos2,patchtst,timesfm}/prune-smoke`."
