job_id,kind,model,dataset,condition,mode,checkpoint,expected_rmse,venv,supported,cuda_device,missing_checkpoint,output_dir,command
ze_moment_aleppo_2017,zeroshot_ci,moment,aleppo_2017,bg_only,zeroshot,,3.771,.venvs/moment,True,0,False,experiments/nocturnal_forecasting/512ctx_96fh/moment/rebuttal_aleppo_2017_zeroshot,.venvs/moment/bin/python scripts/experiments/nocturnal_hypo_eval.py --model moment --dataset aleppo_2017 --config-dir configs/data/holdout_10pct --context-length 512 --forecast-length 96 --cuda-device 0 --output-dir experiments/nocturnal_forecasting/512ctx_96fh/moment/rebuttal_aleppo_2017_zeroshot --covariate-cols
ze_moment_brown_2019,zeroshot_ci,moment,brown_2019,bg_only,zeroshot,,3.556,.venvs/moment,True,1,False,experiments/nocturnal_forecasting/512ctx_96fh/moment/rebuttal_brown_2019_zeroshot,.venvs/moment/bin/python scripts/experiments/nocturnal_hypo_eval.py --model moment --dataset brown_2019 --config-dir configs/data/holdout_10pct --context-length 512 --forecast-length 96 --cuda-device 1 --output-dir experiments/nocturnal_forecasting/512ctx_96fh/moment/rebuttal_brown_2019_zeroshot --covariate-cols
ze_moment_lynch_2022,zeroshot_ci,moment,lynch_2022,bg_only,zeroshot,,3.483,.venvs/moment,True,0,False,experiments/nocturnal_forecasting/512ctx_96fh/moment/rebuttal_lynch_2022_zeroshot,.venvs/moment/bin/python scripts/experiments/nocturnal_hypo_eval.py --model moment --dataset lynch_2022 --config-dir configs/data/holdout_10pct --context-length 512 --forecast-length 96 --cuda-device 0 --output-dir experiments/nocturnal_forecasting/512ctx_96fh/moment/rebuttal_lynch_2022_zeroshot --covariate-cols
ze_moment_tamborlane_2008,zeroshot_ci,moment,tamborlane_2008,bg_only,zeroshot,,3.955,.venvs/moment,True,1,False,experiments/nocturnal_forecasting/512ctx_96fh/moment/rebuttal_tamborlane_2008_zeroshot,.venvs/moment/bin/python scripts/experiments/nocturnal_hypo_eval.py --model moment --dataset tamborlane_2008 --config-dir configs/data/holdout_10pct --context-length 512 --forecast-length 96 --cuda-device 1 --output-dir experiments/nocturnal_forecasting/512ctx_96fh/moment/rebuttal_tamborlane_2008_zeroshot --covariate-cols
ze_ttm_aleppo_2017,zeroshot_ci,ttm,aleppo_2017,bg_only,zeroshot,,2.921,.venvs/ttm,True,0,False,experiments/nocturnal_forecasting/512ctx_96fh/ttm/rebuttal_aleppo_2017_zeroshot,.venvs/ttm/bin/python scripts/experiments/nocturnal_hypo_eval.py --model ttm --dataset aleppo_2017 --config-dir configs/data/holdout_10pct --context-length 512 --forecast-length 96 --cuda-device 0 --output-dir experiments/nocturnal_forecasting/512ctx_96fh/ttm/rebuttal_aleppo_2017_zeroshot --covariate-cols
ze_ttm_brown_2019,zeroshot_ci,ttm,brown_2019,bg_only,zeroshot,,2.843,.venvs/ttm,True,1,False,experiments/nocturnal_forecasting/512ctx_96fh/ttm/rebuttal_brown_2019_zeroshot,.venvs/ttm/bin/python scripts/experiments/nocturnal_hypo_eval.py --model ttm --dataset brown_2019 --config-dir configs/data/holdout_10pct --context-length 512 --forecast-length 96 --cuda-device 1 --output-dir experiments/nocturnal_forecasting/512ctx_96fh/ttm/rebuttal_brown_2019_zeroshot --covariate-cols
ze_ttm_lynch_2022,zeroshot_ci,ttm,lynch_2022,bg_only,zeroshot,,3.001,.venvs/ttm,True,0,False,experiments/nocturnal_forecasting/512ctx_96fh/ttm/rebuttal_lynch_2022_zeroshot,.venvs/ttm/bin/python scripts/experiments/nocturnal_hypo_eval.py --model ttm --dataset lynch_2022 --config-dir configs/data/holdout_10pct --context-length 512 --forecast-length 96 --cuda-device 0 --output-dir experiments/nocturnal_forecasting/512ctx_96fh/ttm/rebuttal_lynch_2022_zeroshot --covariate-cols
ze_ttm_tamborlane_2008,zeroshot_ci,ttm,tamborlane_2008,bg_only,zeroshot,,3.424,.venvs/ttm,True,1,False,experiments/nocturnal_forecasting/512ctx_96fh/ttm/rebuttal_tamborlane_2008_zeroshot,.venvs/ttm/bin/python scripts/experiments/nocturnal_hypo_eval.py --model ttm --dataset tamborlane_2008 --config-dir configs/data/holdout_10pct --context-length 512 --forecast-length 96 --cuda-device 1 --output-dir experiments/nocturnal_forecasting/512ctx_96fh/ttm/rebuttal_tamborlane_2008_zeroshot --covariate-cols
a4_tft_aleppo_2017,a4_bgonly,tft,aleppo_2017,bg_only,finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/tft/2026-04-28_1749_RID20260428_174925_968378_01_bg_wide,2.74,.noctprob-venv,False,0,False,experiments/nocturnal_forecasting/512ctx_96fh/tft/rebuttal_aleppo_2017_finetuned,.noctprob-venv/bin/python scripts/experiments/nocturnal_hypo_eval.py --model tft --dataset aleppo_2017 --config-dir configs/data/holdout_10pct --context-length 512 --forecast-length 96 --cuda-device 0 --output-dir experiments/nocturnal_forecasting/512ctx_96fh/tft/rebuttal_aleppo_2017_finetuned --probabilistic --checkpoint /data/home/cjrisi/nocturnal/trained_models/artifacts/tft/2026-04-28_1749_RID20260428_174925_968378_01_bg_wide --covariate-cols
a4_tft_brown_2019,a4_bgonly,tft,brown_2019,bg_only,finetuned,/data/home/cjrisi/nocturnal/trained_models/artifacts/tft/2026-04-28_1749_RID20260428_174925_968378_01_bg_wide,2.507,.noctprob-venv,False,1,False,experiments/nocturnal_forecasting/512ctx_96fh/tft/rebuttal_brown_2019_finetuned,.noctprob-venv/bin/python scripts/experiments/nocturnal_hypo_eval.py --model tft --dataset brown_2019 --config-dir configs/data/holdout_10pct --context-length 512 --forecast-length 96 --cuda-device 1 --output-dir experiments/nocturnal_forecasting/512ctx_96fh/tft/rebuttal_brown_2019_finetuned --probabilistic --checkpoint /data/home/cjrisi/nocturnal/trained_models/artifacts/tft/2026-04-28_1749_RID20260428_174925_968378_01_bg_wide --covariate-cols
